date,data,change,pct_change,id,realtime_start,realtime_end,title,observation_start,observation_end,frequency,frequency_short,units,units_short,seasonal_adjustment,seasonal_adjustment_short,last_updated,popularity,notes
01/2000,102.641432236322,0.0,0.0,CSCICP03USM665S,2020-06-15,2020-06-15,Consumer Opinion Surveys: Confidence Indicators: Composite Indicators: OECD Indicator for the United States,1960-01-01,2020-05-01,Monthly,M,Normalised (Normal=100),Normalised (Normal = 100),Seasonally Adjusted,SA,2020-06-12 09:50:35-05,54,"OECD descriptor ID: CSCICP03 OECD unit ID: IXNSA OECD country ID: USA  All OECD data should be cited as follows: OECD, ""Main Economic Indicators - complete database"", Main Economic Indicators (database),http://dx.doi.org/10.1787/data-00052-en (Accessed on date) Copyright, 2016, OECD. Reprinted with permission."
02/2000,102.69325108001,0.052,0.05,CSCICP03USM665S,2020-06-15,2020-06-15,Consumer Opinion Surveys: Confidence Indicators: Composite Indicators: OECD Indicator for the United States,1960-01-01,2020-05-01,Monthly,M,Normalised (Normal=100),Normalised (Normal = 100),Seasonally Adjusted,SA,2020-06-12 09:50:35-05,54,"OECD descriptor ID: CSCICP03 OECD unit ID: IXNSA OECD country ID: USA  All OECD data should be cited as follows: OECD, ""Main Economic Indicators - complete database"", Main Economic Indicators (database),http://dx.doi.org/10.1787/data-00052-en (Accessed on date) Copyright, 2016, OECD. Reprinted with permission."
03/2000,102.613952096169,-0.079,-0.077,CSCICP03USM665S,2020-06-15,2020-06-15,Consumer Opinion Surveys: Confidence Indicators: Composite Indicators: OECD Indicator for the United States,1960-01-01,2020-05-01,Monthly,M,Normalised (Normal=100),Normalised (Normal = 100),Seasonally Adjusted,SA,2020-06-12 09:50:35-05,54,"OECD descriptor ID: CSCICP03 OECD unit ID: IXNSA OECD country ID: USA  All OECD data should be cited as follows: OECD, ""Main Economic Indicators - complete database"", Main Economic Indicators (database),http://dx.doi.org/10.1787/data-00052-en (Accessed on date) Copyright, 2016, OECD. Reprinted with permission."
04/2000,102.595794678233,-0.018,-0.018,CSCICP03USM665S,2020-06-15,2020-06-15,Consumer Opinion Surveys: Confidence Indicators: Composite Indicators: OECD Indicator for the United States,1960-01-01,2020-05-01,Monthly,M,Normalised (Normal=100),Normalised (Normal = 100),Seasonally Adjusted,SA,2020-06-12 09:50:35-05,54,"OECD descriptor ID: CSCICP03 OECD unit ID: IXNSA OECD country ID: USA  All OECD data should be cited as follows: OECD, ""Main Economic Indicators - complete database"", Main Economic Indicators (database),http://dx.doi.org/10.1787/data-00052-en (Accessed on date) Copyright, 2016, OECD. Reprinted with permission."
05/2000,102.570994967427,-0.025,-0.024,CSCICP03USM665S,2020-06-15,2020-06-15,Consumer Opinion Surveys: Confidence Indicators: Composite Indicators: OECD Indicator for the United States,1960-01-01,2020-05-01,Monthly,M,Normalised (Normal=100),Normalised (Normal = 100),Seasonally Adjusted,SA,2020-06-12 09:50:35-05,54,"OECD descriptor ID: CSCICP03 OECD unit ID: IXNSA OECD country ID: USA  All OECD data should be cited as follows: OECD, ""Main Economic Indicators - complete database"", Main Economic Indicators (database),http://dx.doi.org/10.1787/data-00052-en (Accessed on date) Copyright, 2016, OECD. Reprinted with permission."
06/2000,102.474116272036,-0.097,-0.094,CSCICP03USM665S,2020-06-15,2020-06-15,Consumer Opinion Surveys: Confidence Indicators: Composite Indicators: OECD Indicator for the United States,1960-01-01,2020-05-01,Monthly,M,Normalised (Normal=100),Normalised (Normal = 100),Seasonally Adjusted,SA,2020-06-12 09:50:35-05,54,"OECD descriptor ID: CSCICP03 OECD unit ID: IXNSA OECD country ID: USA  All OECD data should be cited as follows: OECD, ""Main Economic Indicators - complete database"", Main Economic Indicators (database),http://dx.doi.org/10.1787/data-00052-en (Accessed on date) Copyright, 2016, OECD. Reprinted with permission."
07/2000,102.44132092202,-0.033,-0.032,CSCICP03USM665S,2020-06-15,2020-06-15,Consumer Opinion Surveys: Confidence Indicators: Composite Indicators: OECD Indicator for the United States,1960-01-01,2020-05-01,Monthly,M,Normalised (Normal=100),Normalised (Normal = 100),Seasonally Adjusted,SA,2020-06-12 09:50:35-05,54,"OECD descriptor ID: CSCICP03 OECD unit ID: IXNSA OECD country ID: USA  All OECD data should be cited as follows: OECD, ""Main Economic Indicators - complete database"", Main Economic Indicators (database),http://dx.doi.org/10.1787/data-00052-en (Accessed on date) Copyright, 2016, OECD. Reprinted with permission."
08/2000,102.407152818821,-0.034,-0.033,CSCICP03USM665S,2020-06-15,2020-06-15,Consumer Opinion Surveys: Confidence Indicators: Composite Indicators: OECD Indicator for the United States,1960-01-01,2020-05-01,Monthly,M,Normalised (Normal=100),Normalised (Normal = 100),Seasonally Adjusted,SA,2020-06-12 09:50:35-05,54,"OECD descriptor ID: CSCICP03 OECD unit ID: IXNSA OECD country ID: USA  All OECD data should be cited as follows: OECD, ""Main Economic Indicators - complete database"", Main Economic Indicators (database),http://dx.doi.org/10.1787/data-00052-en (Accessed on date) Copyright, 2016, OECD. Reprinted with permission."
09/2000,102.358305500869,-0.049,-0.048,CSCICP03USM665S,2020-06-15,2020-06-15,Consumer Opinion Surveys: Confidence Indicators: Composite Indicators: OECD Indicator for the United States,1960-01-01,2020-05-01,Monthly,M,Normalised (Normal=100),Normalised (Normal = 100),Seasonally Adjusted,SA,2020-06-12 09:50:35-05,54,"OECD descriptor ID: CSCICP03 OECD unit ID: IXNSA OECD country ID: USA  All OECD data should be cited as follows: OECD, ""Main Economic Indicators - complete database"", Main Economic Indicators (database),http://dx.doi.org/10.1787/data-00052-en (Accessed on date) Copyright, 2016, OECD. Reprinted with permission."
10/2000,102.251488817574,-0.107,-0.104,CSCICP03USM665S,2020-06-15,2020-06-15,Consumer Opinion Surveys: Confidence Indicators: Composite Indicators: OECD Indicator for the United States,1960-01-01,2020-05-01,Monthly,M,Normalised (Normal=100),Normalised (Normal = 100),Seasonally Adjusted,SA,2020-06-12 09:50:35-05,54,"OECD descriptor ID: CSCICP03 OECD unit ID: IXNSA OECD country ID: USA  All OECD data should be cited as follows: OECD, ""Main Economic Indicators - complete database"", Main Economic Indicators (database),http://dx.doi.org/10.1787/data-00052-en (Accessed on date) Copyright, 2016, OECD. Reprinted with permission."
