date,data,change,pct_change,id,realtime_start,realtime_end,title,observation_start,observation_end,frequency,frequency_short,units,units_short,seasonal_adjustment,seasonal_adjustment_short,last_updated,popularity,notes
01/2000,100.0,0.0,0.0,CSUSHPINSA,2020-06-15,2020-06-15,S&P/Case-Shiller U.S. National Home Price Index,1987-01-01,2020-03-01,Monthly,M,Index Jan 2000=100,Index Jan 2000=100,Not Seasonally Adjusted,NSA,2020-05-26 08:31:01-05,87,"For more information regarding the index, please visit Standard & Poor's (http://us.spindices.com/index-family/real-estate/sp-corelogic-case-shiller). There is more information about home price sales pairs in the Methodology section. Copyright, 2016, Standard & Poor's Financial Services LLC. Reprinted with permission."
02/2000,100.571,0.571,0.571,CSUSHPINSA,2020-06-15,2020-06-15,S&P/Case-Shiller U.S. National Home Price Index,1987-01-01,2020-03-01,Monthly,M,Index Jan 2000=100,Index Jan 2000=100,Not Seasonally Adjusted,NSA,2020-05-26 08:31:01-05,87,"For more information regarding the index, please visit Standard & Poor's (http://us.spindices.com/index-family/real-estate/sp-corelogic-case-shiller). There is more information about home price sales pairs in the Methodology section. Copyright, 2016, Standard & Poor's Financial Services LLC. Reprinted with permission."
03/2000,101.46600000000001,0.895,0.89,CSUSHPINSA,2020-06-15,2020-06-15,S&P/Case-Shiller U.S. National Home Price Index,1987-01-01,2020-03-01,Monthly,M,Index Jan 2000=100,Index Jan 2000=100,Not Seasonally Adjusted,NSA,2020-05-26 08:31:01-05,87,"For more information regarding the index, please visit Standard & Poor's (http://us.spindices.com/index-family/real-estate/sp-corelogic-case-shiller). There is more information about home price sales pairs in the Methodology section. Copyright, 2016, Standard & Poor's Financial Services LLC. Reprinted with permission."
04/2000,102.54,1.074,1.058,CSUSHPINSA,2020-06-15,2020-06-15,S&P/Case-Shiller U.S. National Home Price Index,1987-01-01,2020-03-01,Monthly,M,Index Jan 2000=100,Index Jan 2000=100,Not Seasonally Adjusted,NSA,2020-05-26 08:31:01-05,87,"For more information regarding the index, please visit Standard & Poor's (http://us.spindices.com/index-family/real-estate/sp-corelogic-case-shiller). There is more information about home price sales pairs in the Methodology section. Copyright, 2016, Standard & Poor's Financial Services LLC. Reprinted with permission."
05/2000,103.70100000000001,1.161,1.132,CSUSHPINSA,2020-06-15,2020-06-15,S&P/Case-Shiller U.S. National Home Price Index,1987-01-01,2020-03-01,Monthly,M,Index Jan 2000=100,Index Jan 2000=100,Not Seasonally Adjusted,NSA,2020-05-26 08:31:01-05,87,"For more information regarding the index, please visit Standard & Poor's (http://us.spindices.com/index-family/real-estate/sp-corelogic-case-shiller). There is more information about home price sales pairs in the Methodology section. Copyright, 2016, Standard & Poor's Financial Services LLC. Reprinted with permission."
06/2000,104.855,1.154,1.113,CSUSHPINSA,2020-06-15,2020-06-15,S&P/Case-Shiller U.S. National Home Price Index,1987-01-01,2020-03-01,Monthly,M,Index Jan 2000=100,Index Jan 2000=100,Not Seasonally Adjusted,NSA,2020-05-26 08:31:01-05,87,"For more information regarding the index, please visit Standard & Poor's (http://us.spindices.com/index-family/real-estate/sp-corelogic-case-shiller). There is more information about home price sales pairs in the Methodology section. Copyright, 2016, Standard & Poor's Financial Services LLC. Reprinted with permission."
07/2000,105.721,0.866,0.826,CSUSHPINSA,2020-06-15,2020-06-15,S&P/Case-Shiller U.S. National Home Price Index,1987-01-01,2020-03-01,Monthly,M,Index Jan 2000=100,Index Jan 2000=100,Not Seasonally Adjusted,NSA,2020-05-26 08:31:01-05,87,"For more information regarding the index, please visit Standard & Poor's (http://us.spindices.com/index-family/real-estate/sp-corelogic-case-shiller). There is more information about home price sales pairs in the Methodology section. Copyright, 2016, Standard & Poor's Financial Services LLC. Reprinted with permission."
08/2000,106.521,0.8,0.757,CSUSHPINSA,2020-06-15,2020-06-15,S&P/Case-Shiller U.S. National Home Price Index,1987-01-01,2020-03-01,Monthly,M,Index Jan 2000=100,Index Jan 2000=100,Not Seasonally Adjusted,NSA,2020-05-26 08:31:01-05,87,"For more information regarding the index, please visit Standard & Poor's (http://us.spindices.com/index-family/real-estate/sp-corelogic-case-shiller). There is more information about home price sales pairs in the Methodology section. Copyright, 2016, Standard & Poor's Financial Services LLC. Reprinted with permission."
09/2000,107.135,0.614,0.576,CSUSHPINSA,2020-06-15,2020-06-15,S&P/Case-Shiller U.S. National Home Price Index,1987-01-01,2020-03-01,Monthly,M,Index Jan 2000=100,Index Jan 2000=100,Not Seasonally Adjusted,NSA,2020-05-26 08:31:01-05,87,"For more information regarding the index, please visit Standard & Poor's (http://us.spindices.com/index-family/real-estate/sp-corelogic-case-shiller). There is more information about home price sales pairs in the Methodology section. Copyright, 2016, Standard & Poor's Financial Services LLC. Reprinted with permission."
10/2000,107.728,0.593,0.554,CSUSHPINSA,2020-06-15,2020-06-15,S&P/Case-Shiller U.S. National Home Price Index,1987-01-01,2020-03-01,Monthly,M,Index Jan 2000=100,Index Jan 2000=100,Not Seasonally Adjusted,NSA,2020-05-26 08:31:01-05,87,"For more information regarding the index, please visit Standard & Poor's (http://us.spindices.com/index-family/real-estate/sp-corelogic-case-shiller). There is more information about home price sales pairs in the Methodology section. Copyright, 2016, Standard & Poor's Financial Services LLC. Reprinted with permission."
